Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26718,CG 32 *SIDE ADDITIONS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16148,,,,,,,,,,,,,,,,,,,,
26719,Add Guacamole,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16184,,,,,,,,,RC001227,,,,,,,,,,,
26720,Salsa Verde,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16149,,,,,,,,,RC008359,,,,,,,,,,,
26721,Salsa Roja,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16150,,,,,,,,,RC004362,,,,,,,,,,,
26722,Black Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16151,,,,,,,,,RC003940,,,,,,,,,,,
26723,Refried Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16152,,,,,,,,,RC003500,,,,,,,,,,,
26724,Add Brown Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16185,,,,,,,,,RC007632,,,,,,,,,,,
26725,Add Spanish Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90032,,1,448,1,16153,,,,,,,,,RC006657,,,,,,,,,,,
26726,CG 33 *SAUCE OPTIONS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16186,,,,,,,,,,,,,,,,,,,,
26727,No Sauce ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90033,,1,448,1,16187,,,,,,,,,RC000027,,,,,,,,,,,
26728,Sauce on the Side,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90033,,1,448,1,16188,,,,,,,,,RC000333,,,,,,,,,,,
26729,CG 34 *SHORT RIB TACO MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16275,,,,,,,,,RC006080,,,,,,,,,,,
