Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
17980,171893,1,"00000000	",1000,10006,,White Toast,41206121,42,,,,,,
17981,171894,1,"00000000	",1000,10006,,Wheat Toast,41206122,42,,,,,,
17982,171895,1,"00000000	",1000,10006,,No Toast ,41206123,42,,,,,,
17983,171896,0,"00000000	",0,0,,** CG:58 ADD SIDE OF TOAST **,41206160,42,,,,,,
17984,171897,1,"00000000	",1000,10006,,Wheat Toast,41206161,42,,,,,,
17985,171898,1,"00000000	",1000,10006,,Add White Toast,41206162,42,,,,,,
17986,171899,0,"00000000	",0,0,,** CG:60 SHRIMP FETTUCCINE MODIFIERS **,41206200,42,,,,,,
17987,171900,1,"00000000	",1000,10006,,Shrimp,41206201,42,,,,,,
17988,171901,0,"00000000	",0,0,,** CG:62 ADD SIDE SALAD **,41206240,42,,,,,,
17989,171902,1,"00000000	",1000,10006,,Mixed Greens Salad,41206241,42,,,,,,
17990,171903,1,"00000000	",1000,10006,,Kale & Radicchio Salad,41206242,42,,,,,,
17991,171904,1,"00000000	",1000,10006,,Caesar Salad,41206243,42,,,,,,
17992,171905,0,"00000000	",0,0,,** CG:64 MIXED GREENS SALAD MODIFIERS **,41206280,42,,,,,,
17993,171906,1,"00000000	",1000,10006,,No Olives,41206281,42,,,,,,
17994,171907,1,"00000000	",1000,10006,,No Tomato,41206282,42,,,,,,
17995,171908,1,"00000000	",1000,10006,,No Chickpeas,41206283,42,,,,,,
17996,171909,0,"00000000	",0,0,,** CG:66 RIGATONI PESTO MODIFIERS **,41206320,42,,,,,,
17997,171910,1,"00000000	",1000,10006,,No Cheese,41206321,42,,,,,,
17998,171911,1,"00000000	",1000,10006,,No Nuts,41206322,42,,,,,,
17999,171912,1,"00000000	",1000,10006,,Chicken ,41206323,42,,,,,,
18000,171913,1,"00000000	",1000,10006,,Shrimp,41206324,42,,,,,,
18001,171914,0,"00000000	",0,0,,** CG:68 AVOCADO TOAST OPTIONS **,41206360,42,,,,,,
18002,171915,1,"00000000	",1000,10006,,Tomatoes ,41206361,42,,,,,,
18003,171916,1,"00000000	",1000,10006,,Mozzarella ,41206362,42,,,,,,
18004,171917,1,"00000000	",1000,10006,,No Tomato,41206363,42,,,,,,
18005,171918,1,"00000000	",1000,10006,,Avocado,41206364,42,,,,,,
18006,171919,1,"00000000	",1000,10006,,Spinach,41206365,42,,,,,,
18007,171920,1,"00000000	",1000,10006,,Add an Over Medium Egg,41206366,42,,,,,,
18008,171921,1,"00000000	",1000,10006,,Add a Sunny Side Up Egg,41206367,42,,,,,,
18009,171922,1,"00000000	",1000,10006,,No Lettuce,41206368,42,,,,,,
18010,171923,1,"00000000	",1000,10006,, Mushrooms ,41206369,42,,,,,,
18011,171924,0,"00000000	",0,0,,** CG:70 TURKEY AND BACON PANINI MODIFIERS **,41206400,42,,,,,,
18012,171925,1,"00000000	",1000,10006,,Bacon,41206401,42,,,,,,
18013,171926,1,"00000000	",1000,10006,,Add Sandwich Turkey,41206402,42,,,,,,
18014,171927,1,"00000000	",1000,10006,,Sub Chips for Fries ,41206403,42,,,,,,
18015,171928,1,"00000000	",1000,10006,,Gouda Cheese,41206404,42,,,,,,
18016,171929,0,"00000000	",0,0,,** CG:72 CHICKEN PARM AND SPAGHETTI MARINARA MODIFIERS **,41206440,42,,,,,,
18017,171930,1,"00000000	",1000,10006,,Chicken Parm,41206441,42,,,,,,
18018,171931,1,"00000000	",1000,10006,,Pizza Bianca Bread,41206442,42,,,,,,
17785,163992,0,"00000000	",,,,**BEGIN IAH YUME**,41260000,42,,,,,,
17359,167285,0,"00000000	",1000,10016,,California Roll,41260001,42,,,,,,
17360,167287,0,"00000000	",1000,10016,,Crunchy Shrimp Roll,41260002,42,,,,,,
17786,164978,0,"00000000	",1000,10016,,Dragon Roll,41260003,42,,,,,,
17361,167318,0,"00000000	",1000,10016,,Eel Tamago Roll,41260004,42,,,,,,
17362,167320,0,"00000000	",1000,10016,,Salmon Avocado Roll*,41260005,42,,,,,,
17363,167322,0,"00000000	",1000,10016,,Spicy Salmon Roll*,41260006,42,,,,,,
17787,164980,0,"00000000	",1000,10016,,Spicy Tuna Roll*,41260007,42,,,,,,
17788,164982,0,"00000000	",1000,10016,,Tuna Avocado Roll*,41260008,42,,,,,,
17364,167324,0,"00000000	",1000,10016,,Vegetable Roll,41260009,42,,,,,,
17789,164984,0,"00000000	",1000,10015,,Applewood Smoked Bacon,41260010,42,,,,,,
17790,164986,0,"00000000	",1000,10015,,Bacon & Cheddar Omelette,41260011,42,,,,,,
17365,167326,0,"00000000	",1000,10015,,"Bacon, Egg & Cheese Sandwich",41260012,42,,,,,,
17366,167328,0,"00000000	",1000,10005,,Beef Pho Bowl,41260013,42,,,,,,
17367,167330,0,"00000000	",1000,10004,,Bourbon Pecan Pie,41260014,42,,,,,,
19588,167332,0,"00000000	",1000,10015,,Breakfast Burrito,41260015,42,,,,,,
17791,164988,0,"00000000	",1000,10015,,Breakfast Potatoes,41260016,42,,,,,,
17792,164990,0,"00000000	",1000,10015,,Breakfast Sausage,41260017,42,,,,,,
19589,167334,0,"00000000	",1000,10004,,Brulee Cheesecake,41260018,42,,,,,,
17793,164992,0,"00000000	",1000,10001,,Buffalo Chicken Egg Rolls,41260019,42,,,,,,
17794,164994,0,"00000000	",1000,10001,,Bulgogi Fries,41260020,42,,,,,,
19590,167336,0,"00000000	",1000,10004,,Carrot Cake,41260021,42,,,,,,
17795,164996,0,"00000000	",1000,10012,,Chicken Fried Rice,41260022,42,,,,,,
19591,167338,0,"00000000	",1000,10005,,Chicken Katsu Bowl,41260023,42,,,,,,
19592,167340,0,"00000000	",1000,10005,,Chicken Stir-Fry Bowl,41260024,42,,,,,,
17796,164998,0,"00000000	",1000,10004,,Chocolate Layer Cake,41260025,42,,,,,,
17797,165000,0,"00000000	",1000,10015,,Chorizo & Monterey Jack Omelette,41260026,42,,,,,,
17798,165002,0,"00000000	",1000,10001,,Crispy Salt & Pepper Wings,41260027,42,,,,,,
19593,167342,0,"00000000	",1000,10001,,Edamame,41260028,42,,,,,,
19594,167344,0,"00000000	",1000,10015,,Egg & Cheese Sandwich,41260029,42,,,,,,
17799,165004,0,"00000000	",1000,10015,,Fresh Fruit,41260030,42,,,,,,
17800,165006,0,"00000000	",1000,10001,,Fried Chicken Katsu Sandwich,41260031,42,,,,,,
19595,167346,0,"00000000	",1000,10001,,Fried Vegetable Dumplings,41260032,42,,,,,,
19596,167348,0,"00000000	",1000,10005,,General Tso's Broccoli & Cauliflower Bowl,41260033,42,,,,,,
19597,167350,0,"00000000	",1000,10005,,General Tso's Chicken Bowl,41260034,42,,,,,,
17801,165008,0,"00000000	",1000,10015,,Ham & Cheese Omelette,41260035,42,,,,,,
17802,165010,0,"00000000	",1000,10009,,Kids Buttered Noodles,41260036,42,,,,,,
19598,167352,0,"00000000	",1000,10009,,Kids Chicken Fingers & Fries ,41260037,42,,,,,,
17803,165012,0,"00000000	",1000,10009,,Kids Egg Breakfast,41260038,42,,,,,,
17804,165014,0,"00000000	",1000,10015,,Kids French Toast,41260039,42,,,,,,
17805,165016,0,"00000000	",1000,10015,,Kids Pancake,41260040,42,,,,,,
